GRID*,X,Y,Z
221,1.757129149E-3,-7.212767882E-4,9.810059403E-2
222,-7.591576999E-2,-8.300720379E-3,2.363177302E-2
223,4.178345766E-2,1.331652484E-3,5.819532762E-2
224,1.043421139E-3,-1.514300592E-3,9.816102367E-2
225,-3.852220802E-2,-6.594046998E-2,2.363177302E-2
226,5.422549437E-2,2.336195274E-3,4.572420385E-2
227,-1.182373691E-2,-7.544736799E-2,2.363177302E-2
228,2.381020741E-3,-7.633110003E-2,2.363177302E-2
229,6.746731054E-2,6.006035450E-3,3.226588413E-2
230,7.901836019E-2,1.059104591E-2,2.027502587E-2
231,-1.577459994E-2,-6.209749232E-2,3.593022120E-2
232,-3.978333043E-3,-6.394614470E-2,3.593022120E-2
233,3.005197248E-2,-7.020673075E-2,2.363177302E-2
234,6.305225744E-2,-4.248795670E-2,2.396833796E-2
235,5.363952502E-2,-5.435713293E-2,2.363314499E-2
236,7.614667379E-2,-8.797874258E-3,2.334676444E-2
237,4.194797585E-2,4.746281111E-2,3.665687791E-2
238,5.560864440E-2,5.248372670E-2,2.353521791E-2
239,2.643751817E-2,-7.916990986E-3,7.240251618E-2
240,1.473932367E-2,-4.434601208E-3,8.460801019E-2
241,5.531881355E-3,-1.691343653E-3,9.421533452E-2
242,3.855361139E-3,-1.178386617E-3,9.596857289E-2
243,3.506521673E-2,-1.052157998E-2,6.339025991E-2
244,-6.766132173E-2,-3.541259145E-2,2.363177302E-2
245,1.081137944E-2,-3.272121537E-3,8.870430592E-2
246,7.809942269E-3,-2.391055389E-3,9.183223751E-2
247,-5.991545468E-2,-4.735234295E-2,2.363177302E-2
248,-2.561784183E-2,-7.194325730E-2,2.363177302E-2
249,-2.702299583E-2,-5.809211867E-2,3.593022120E-2
250,4.737571659E-2,-1.386702619E-2,5.063652222E-2
251,1.650308265E-2,-7.456376033E-2,2.363177302E-2
252,6.242179927E-2,-1.201349346E-2,3.643267310E-2
253,7.029421401E-2,-2.773228682E-2,2.443310079E-2
254,-5.186164281E-2,5.605779248E-2,2.363177302E-2
255,-1.428357541E-4,-6.738732770E-4,9.931115514E-2
256,-6.136268522E-2,4.546126873E-2,2.363177302E-2
257,9.948171092E-4,1.893393259E-3,9.786116875E-2
258,2.706098771E-4,1.414666634E-3,9.855968358E-2
259,2.138419260E-3,3.147672826E-3,9.619465098E-2
260,3.136822714E-3,4.568056690E-3,9.445862845E-2
261,4.479616019E-3,6.546375177E-3,9.206766191E-2
262,-4.055938260E-2,6.470736105E-2,2.363177302E-2
263,-5.221176239E-4,4.980164361E-4,9.927845500E-2
264,-2.784844582E-2,7.110956446E-2,2.363177302E-2
265,-3.612590359E-4,7.619132506E-2,2.380781850E-2
266,2.703278604E-2,7.121926986E-2,2.382286484E-2
267,2.854680110E-2,4.057048674E-2,5.039269965E-2
268,4.054560179E-2,6.362915275E-2,2.455058049E-2
269,1.345247464E-2,7.489405328E-2,2.390737032E-2
270,4.256228606E-2,-6.338625405E-2,2.364971907E-2
271,1.165600456E-2,1.678071449E-2,7.956828884E-2
272,1.569285213E-2,2.259975301E-2,7.248610453E-2
273,6.519733703E-3,2.306446724E-2,7.603175900E-2
274,1.981053518E-2,-5.947644438E-3,7.931590519E-2
275,2.108078732E-2,3.022044372E-2,6.315336091E-2
276,8.689241963E-3,1.245388636E-2,8.481440777E-2
277,2.130079547E-4,2.441789288E-3,9.754893751E-2
278,6.301914558E-3,9.111466704E-3,8.892150946E-2
279,9.116387164E-4,3.070862304E-3,9.679667666E-2
280,-1.676030955E-4,4.058284067E-3,9.593825649E-2
281,1.234854243E-3,4.538677083E-3,9.529633604E-2
282,-7.097243106E-4,3.043960178E-3,9.687439571E-2
283,1.797761153E-3,6.505268768E-3,9.325089140E-2
284,2.575625492E-3,9.190481182E-3,9.045543133E-2
285,-1.046596623E-2,-5.103901008E-2,4.789897315E-2
286,-5.008865117E-2,-5.764749011E-2,2.363177302E-2
287,-2.747588518E-4,1.109050478E-3,9.885742160E-2
288,1.129714919E-2,4.129339524E-2,5.718913607E-2
289,-7.305722897E-2,-2.224291768E-2,2.363177302E-2
290,-8.061821585E-4,-5.104342072E-4,9.904581304E-2
291,-6.873252710E-2,3.328581996E-2,2.363177302E-2
292,-1.095824789E-3,5.334157457E-5,9.890287772E-2
293,1.071904087E-2,-7.758763217E-3,8.676760627E-2
294,2.601829252E-2,5.819939487E-2,3.624954032E-2
295,-2.882106370E-2,5.722134954E-2,3.593022120E-2
296,-3.893812041E-2,5.087985195E-2,3.593022120E-2
297,5.661883240E-2,-2.746608571E-2,3.707084899E-2
298,4.065582503E-2,-4.918268146E-2,3.618908977E-2
299,4.996148592E-2,-4.070192530E-2,3.555780266E-2
300,3.059110852E-2,-5.629494325E-2,3.593022120E-2
301,2.858402204E-2,-4.275923115E-2,4.856656569E-2
302,8.798034316E-3,-1.272879262E-2,8.452655276E-2
303,6.479334947E-3,-9.413655892E-3,8.857202124E-2
304,-4.634608954E-2,-4.423772756E-2,3.593022120E-2
305,-3.733285028E-2,-5.206913525E-2,3.593022120E-2
306,1.450580342E-2,-1.051524539E-2,8.208384198E-2
307,2.627505028E-3,-2.040298793E-3,9.667334976E-2
308,7.769175386E-3,-5.697067818E-3,9.036585925E-2
309,5.515071662E-3,-4.054366755E-3,9.315500875E-2
310,3.842528115E-3,-2.846422124E-3,9.521804002E-2
311,-4.770280895E-2,4.277123536E-2,3.593022120E-2
312,-1.417029869E-2,7.504204644E-2,2.363177298E-2
313,-1.774041870E-2,6.152288273E-2,3.597041656E-2
314,6.988166833E-3,6.292270455E-2,3.669043339E-2
315,-5.912845830E-3,6.378199169E-2,3.594452241E-2
316,7.956106184E-3,-6.357386987E-2,3.593022120E-2
317,1.279733284E-2,5.150397828E-2,4.692993775E-2
318,4.084689440E-4,-1.156204555E-3,9.877376354E-2
319,3.200890365E-3,-4.792614569E-3,9.423676709E-2
320,2.186878430E-3,-3.432486984E-3,9.593006091E-2
321,3.567981334E-3,1.269461642E-2,8.681350021E-2
322,-5.481072104E-2,3.317712185E-2,3.593022120E-2
323,-6.001499028E-2,2.243072664E-2,3.593022120E-2
324,-7.220705628E-3,5.070629221E-2,4.878216463E-2
325,-6.313486607E-2,1.090528508E-2,3.593022120E-2
326,-6.406199134E-2,-9.989102750E-4,3.593022120E-2
327,-6.276416590E-2,-1.286841226E-2,3.593022120E-2
328,8.866911881E-3,3.086929528E-2,6.788247336E-2
329,-5.928646482E-2,-2.429097867E-2,3.593022120E-2
330,-5.374967287E-2,-3.486988991E-2,3.593022120E-2
331,1.945341124E-2,-1.408144973E-2,7.598495398E-2
332,1.382741974E-3,-2.531759469E-3,9.711525021E-2
333,2.588640704E-2,-1.861458552E-2,6.811569566E-2
334,-4.616493246E-2,-2.429117869E-2,4.783427992E-2
335,-5.118718820E-2,-5.596867900E-3,4.850773684E-2
336,-3.869087739E-2,-1.198108592E-2,5.949653826E-2
337,1.961422019E-2,-6.099359739E-2,3.593022120E-2
